Season,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1
2013-2014,MarShon Brooks,SG,25,BOS,10,73,0.375,12.5,0.833,0.25,0.25,0.083,0.25,0.16699999999999998,0.35,0.667,0.16699999999999998,0.5,0.16699999999999998,0.5,0.429,0.5,0.0,0,0.0,0.0,0,0
2013-2014,MarShon Brooks,SG,25,GSW,7,15,0.385,9.6,0.846,0.308,0.308,0.154,0.077,0.154,0.455,0.75,0.5,0.0,0.0,0.0,0.4,0.0,0.077,1,0.0,0.0,0,0
2013-2014,MarShon Brooks,SG,25,LAL,18,228,0.489,11.5,0.784,0.261,0.284,0.114,0.125,0.21600000000000005,0.464,0.609,0.6,0.2,0.091,0.579,0.25,0.727,0.034,3,0.158,0.667,0,0
2013-2014,Marc Gasol,C,29,MEM,59,1970,0.473,10.6,0.985,0.188,0.3,0.269,0.228,0.015,0.477,0.7390000000000001,0.4320000000000001,0.44,0.364,0.182,0.695,0.5,0.032,22,0.0,0.0,5,1
2013-2014,Marcin Gortat,C,29,WAS,81,2655,0.542,6.7,0.999,0.39,0.32,0.215,0.073,0.001,0.541,0.753,0.405,0.425,0.344,1.0,0.6829999999999999,1.0,0.058,46,0.0,0.0,0,0
2013-2014,Marco Belinelli,SF,27,SAS,80,2016,0.485,17.0,0.578,0.17800000000000002,0.094,0.081,0.226,0.422,0.525,0.7340000000000001,0.354,0.482,0.446,0.43,0.7390000000000001,0.897,0.006,3,0.287,0.452,3,0
2013-2014,Marcus Morris,SF,24,PHO,82,1800,0.442,16.5,0.601,0.16899999999999998,0.077,0.16699999999999998,0.187,0.399,0.483,0.655,0.34,0.486,0.385,0.381,0.439,0.949,0.02,12,0.392,0.373,3,0
2013-2014,Marcus Thornton,SG,26,BRK,26,620,0.414,16.8,0.485,0.207,0.105,0.049,0.124,0.515,0.45,0.473,0.429,0.615,0.364,0.38,0.431,0.8270000000000001,0.0,0,0.204,0.464,0,0
2013-2014,Marcus Thornton,SG,26,TOT,72,1741,0.394,17.0,0.505,0.16899999999999998,0.138,0.05,0.149,0.495,0.443,0.565,0.375,0.5,0.34700000000000003,0.345,0.4970000000000001,0.8440000000000001,0.0,0,0.184,0.379,0,0
2013-2014,Marcus Thornton,SG,26,SAC,46,1121,0.381,17.1,0.52,0.142,0.161,0.051,0.166,0.48,0.438,0.66,0.35,0.421,0.339,0.318,0.541,0.86,0.0,0,0.168,0.3,0,0
2013-2014,Mario Chalmers,PG,27,MIA,73,2178,0.454,12.7,0.596,0.35,0.182,0.027000000000000003,0.038,0.404,0.5,0.602,0.382,0.067,0.429,0.385,0.21600000000000005,0.897,0.006999999999999999,4,0.336,0.513,1,0
2013-2014,Markieff Morris,PF,24,PHO,81,2153,0.486,11.4,0.872,0.28800000000000003,0.174,0.22,0.191,0.128,0.512,0.6579999999999999,0.401,0.478,0.429,0.315,0.528,0.882,0.076,62,0.111,0.333,5,0
2013-2014,Marquis Teague,SG,20,CHI,19,242,0.242,9.2,0.848,0.439,0.227,0.061,0.121,0.152,0.25,0.31,0.2,0.25,0.125,0.2,0.214,0.5,0.015,0,0.0,0.0,0,0
2013-2014,Marquis Teague,SG,20,BRK,21,201,0.415,11.0,0.8490000000000001,0.34,0.189,0.075,0.245,0.151,0.422,0.667,0.2,0.5,0.231,0.375,0.211,0.667,0.0,0,0.0,0.0,0,0
2013-2014,Marquis Teague,SG,20,TOT,40,443,0.319,10.0,0.8490000000000001,0.395,0.21,0.067,0.17600000000000002,0.151,0.327,0.447,0.2,0.375,0.19,0.278,0.212,0.6,0.008,0,0.0,0.0,0,0
2013-2014,Marreese Speights,C,26,GSW,79,982,0.441,10.4,0.93,0.342,0.195,0.095,0.299,0.07,0.455,0.609,0.419,0.35700000000000004,0.333,0.258,0.6629999999999999,1.0,0.063,26,0.129,0.0,0,0
2013-2014,Martell Webster,SF,27,WAS,78,2157,0.433,19.7,0.366,0.138,0.051,0.041,0.136,0.634,0.502,0.679,0.4,0.292,0.425,0.392,0.7040000000000001,0.938,0.055,30,0.35200000000000004,0.4270000000000001,5,0
2013-2014,Marvin Williams,PF,27,UTA,66,1674,0.439,16.6,0.555,0.194,0.122,0.061,0.179,0.445,0.503,0.725,0.406,0.344,0.383,0.359,0.605,0.988,0.029,13,0.226,0.358,4,0
2013-2014,Mason Plumlee,C,23,BRK,70,1275,0.659,2.9,0.99,0.785,0.189,0.013,0.003,0.01,0.6659999999999999,0.759,0.333,0.0,0.0,0.0,0.8140000000000001,0.0,0.404,116,0.0,0.0,2,0
2013-2014,Matt Barnes,SF,33,LAC,63,1735,0.438,16.1,0.463,0.262,0.12,0.009000000000000001,0.07200000000000001,0.537,0.5489999999999999,0.6809999999999999,0.444,0.4,0.263,0.343,0.754,0.969,0.042,21,0.375,0.33,1,0
2013-2014,Matt Bonner,PF,33,SAS,61,690,0.445,18.9,0.402,0.043,0.213,0.061,0.085,0.598,0.47,0.7140000000000001,0.429,0.2,0.643,0.429,0.774,0.976,0.0,0,0.194,0.579,0,0
2013-2014,Matthew Dellavedova,SG,23,CLE,72,1271,0.412,17.8,0.476,0.091,0.17600000000000002,0.105,0.108,0.524,0.461,0.667,0.404,0.355,0.469,0.368,0.477,0.93,0.0,0,0.31,0.458,2,0
2013-2014,Maurice Harkless,SF,20,ORL,80,1950,0.464,11.0,0.6809999999999999,0.474,0.112,0.017,0.079,0.319,0.502,0.5760000000000001,0.29600000000000004,0.375,0.368,0.383,0.564,0.898,0.128,60,0.526,0.383,3,0
2013-2014,Melvin Ely,C,35,NOP,2,27,0.5,6.2,1.0,0.16699999999999998,0.833,0.0,0.0,0.0,0.5,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.16699999999999998,1,0.0,0.0,0,0
2013-2014,Metta World Peace,SF,34,NYK,29,388,0.397,14.4,0.617,0.241,0.156,0.071,0.149,0.383,0.448,0.618,0.318,0.3,0.381,0.315,0.256,0.8240000000000001,0.014,2,0.37,0.3,0,0
2013-2014,Meyers Leonard,C,21,POR,40,355,0.451,10.9,0.934,0.28600000000000003,0.253,0.08800000000000001,0.308,0.066,0.482,0.615,0.522,0.375,0.35700000000000004,0.0,0.902,0.0,0.165,13,0.5,0.0,1,0
2013-2014,Michael Beasley,SF,25,MIA,55,831,0.499,11.3,0.848,0.307,0.206,0.132,0.203,0.152,0.518,0.67,0.521,0.383,0.375,0.389,0.551,1.0,0.062,19,0.35200000000000004,0.474,0,0
2013-2014,Michael Carter-Williams,PG,22,PHI,70,2414,0.405,10.6,0.8029999999999999,0.34,0.248,0.083,0.132,0.197,0.44,0.5529999999999999,0.345,0.364,0.374,0.264,0.255,0.655,0.029,29,0.087,0.389,1,0
2013-2014,Michael Kidd-Gilchrist,SF,20,CHA,62,1502,0.473,7.0,0.975,0.581,0.136,0.037000000000000005,0.221,0.025,0.483,0.61,0.313,0.154,0.308,0.111,0.687,1.0,0.085,30,0.667,0.0,0,0
2013-2014,Mike Conley,PG,26,MEM,73,2446,0.45,13.5,0.7170000000000001,0.266,0.184,0.069,0.198,0.28300000000000003,0.484,0.613,0.379,0.4370000000000001,0.426,0.361,0.243,0.695,0.002,2,0.168,0.306,5,0
2013-2014,Mike Dunleavy,SF,33,CHI,82,2584,0.43,17.6,0.581,0.17600000000000002,0.065,0.056,0.28600000000000003,0.419,0.467,0.61,0.36,0.395,0.416,0.38,0.7859999999999999,0.959,0.008,6,0.173,0.35700000000000004,2,1
2013-2014,Mike Harris,PF,30,UTA,20,225,0.475,12.2,0.967,0.213,0.16399999999999998,0.14800000000000002,0.443,0.033,0.4920000000000001,0.923,0.4,0.444,0.333,0.0,0.69,0.0,0.016,1,0.5,0.0,0,0
2013-2014,Mike James,PG,38,CHI,11,77,0.238,15.5,0.762,0.0,0.429,0.0,0.333,0.238,0.25,0.0,0.333,0.0,0.14300000000000002,0.2,0.0,1.0,0.0,0,0.0,0.0,0,0
2013-2014,Mike Miller,SF,33,MEM,82,1707,0.481,19.3,0.474,0.104,0.07,0.047,0.253,0.526,0.505,0.7170000000000001,0.355,0.476,0.464,0.459,0.67,0.972,0.002,1,0.223,0.5,0,0
2013-2014,Mike Muscala,PF,22,ATL,20,215,0.425,10.8,0.959,0.301,0.17800000000000002,0.123,0.35600000000000004,0.041,0.443,0.5,0.308,0.333,0.5,0.0,0.8390000000000001,0.0,0.08199999999999999,4,0.333,0.0,0,0
2013-2014,Mike Scott,PF,25,ATL,80,1482,0.479,12.8,0.682,0.293,0.196,0.091,0.102,0.318,0.5579999999999999,0.7120000000000001,0.455,0.368,0.484,0.31,0.858,1.0,0.041,22,0.24,0.292,2,0
2013-2014,Miles Plumlee,C,25,PHO,80,1964,0.517,4.5,1.0,0.515,0.376,0.081,0.027000000000000003,0.0,0.517,0.691,0.341,0.311,0.267,0.0,0.591,0.0,0.221,103,0.0,0.0,0,0
2013-2014,Miroslav Raduljica,C,26,MIL,48,465,0.54,4.0,1.0,0.5710000000000001,0.333,0.056,0.04,0.0,0.54,0.667,0.429,0.28600000000000003,0.0,0.0,0.6759999999999999,0.0,0.04,5,0.0,0.0,0,0
2013-2014,Mirza Teletović,SF,28,BRK,72,1396,0.418,19.4,0.34,0.151,0.081,0.049,0.057,0.66,0.472,0.513,0.442,0.423,0.467,0.39,0.5529999999999999,0.971,0.021,8,0.14300000000000002,0.4,4,0
2013-2014,Mo Williams,PG,31,POR,74,1834,0.417,17.1,0.665,0.101,0.141,0.121,0.302,0.335,0.441,0.529,0.411,0.4320000000000001,0.429,0.369,0.218,0.7709999999999999,0.0,0,0.209,0.362,2,0
2013-2014,Monta Ellis,SG,28,DAL,82,3023,0.451,11.8,0.836,0.317,0.16,0.103,0.257,0.16399999999999998,0.474,0.615,0.377,0.409,0.387,0.33,0.268,0.841,0.015,18,0.23,0.542,1,0
2013-2014,Mustafa Shakur,PG,29,OKC,3,11,0.0,6.3,0.667,0.333,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2013-2014,Nando De Colo,SF,26,TOT,47,494,0.418,14.5,0.654,0.294,0.078,0.078,0.203,0.34600000000000003,0.46,0.644,0.25,0.417,0.29,0.34,0.5429999999999999,0.889,0.0,0,0.302,0.5,1,0
2013-2014,Nando De Colo,SF,26,SAS,26,301,0.452,13.7,0.667,0.344,0.065,0.054000000000000006,0.204,0.333,0.516,0.625,0.333,0.4,0.421,0.32299999999999995,0.6559999999999999,0.8,0.0,0,0.226,0.5710000000000001,0,0
2013-2014,Nando De Colo,SF,26,TOR,21,193,0.3670000000000001,15.7,0.633,0.217,0.1,0.117,0.2,0.3670000000000001,0.368,0.6920000000000001,0.16699999999999998,0.429,0.083,0.364,0.28600000000000003,1.0,0.0,0,0.409,0.444,1,0
2013-2014,Nate Robinson,PG,29,DEN,44,866,0.428,15.9,0.598,0.214,0.104,0.08900000000000001,0.191,0.402,0.463,0.6709999999999999,0.375,0.206,0.397,0.377,0.274,0.7070000000000001,0.008,3,0.234,0.5,0,0
2013-2014,Nate Wolters,PG,22,MIL,58,1309,0.4370000000000001,10.2,0.841,0.34700000000000003,0.219,0.14400000000000002,0.131,0.159,0.465,0.615,0.306,0.429,0.373,0.29,0.342,0.778,0.0,0,0.145,0.444,0,0
2013-2014,Nazr Mohammed,C,36,CHI,80,562,0.429,7.6,1.0,0.4370000000000001,0.206,0.198,0.159,0.0,0.429,0.564,0.423,0.24,0.3,0.0,0.556,0.0,0.04,4,0.0,0.0,0,0
2013-2014,Nemanja Nedović,SG,22,GSW,24,142,0.205,17.7,0.5379999999999999,0.154,0.077,0.103,0.205,0.462,0.238,0.333,0.0,0.25,0.25,0.16699999999999998,0.4,0.333,0.0,0,0.16699999999999998,0.333,0,0
2013-2014,Nenê,PF,31,WAS,53,1560,0.503,8.5,0.992,0.375,0.19,0.224,0.202,0.008,0.506,0.677,0.336,0.398,0.467,0.2,0.617,1.0,0.08800000000000001,49,0.4,0.0,0,0
2013-2014,Nick Calathes,SG,24,MEM,71,1173,0.457,10.7,0.804,0.338,0.219,0.135,0.113,0.196,0.4920000000000001,0.657,0.397,0.333,0.371,0.311,0.374,0.8420000000000001,0.0,0,0.23,0.5,0,0
2013-2014,Nick Collison,PF,33,OKC,81,1353,0.556,7.4,0.929,0.5770000000000001,0.12,0.025,0.207,0.071,0.58,0.655,0.552,0.5,0.4,0.235,0.7,1.0,0.1,20,0.882,0.2,0,0
2013-2014,Nick Young,SG,28,LAL,64,1810,0.435,16.8,0.606,0.161,0.091,0.11,0.244,0.394,0.468,0.65,0.395,0.408,0.401,0.386,0.476,0.7929999999999999,0.025,21,0.28,0.439,1,0
2013-2014,Nicolas Batum,SF,25,POR,82,2956,0.465,16.9,0.509,0.219,0.055,0.077,0.159,0.491,0.5660000000000001,0.76,0.378,0.444,0.423,0.361,0.542,0.903,0.061,43,0.251,0.366,1,0
2013-2014,Nikola Peković,C,28,MIN,54,1663,0.541,3.9,1.0,0.552,0.379,0.053,0.014,0.0,0.541,0.638,0.436,0.27,0.5,0.0,0.604,0.0,0.029,16,0.0,0.0,0,0
2013-2014,Nikola Vučević,C,23,ORL,57,1812,0.507,8.4,1.0,0.395,0.231,0.112,0.261,0.0,0.507,0.622,0.435,0.5,0.401,0.0,0.626,0.0,0.043,27,0.0,0.0,0,0
2013-2014,Norris Cole,PG,25,MIA,82,2014,0.414,13.5,0.652,0.322,0.104,0.05,0.17600000000000002,0.348,0.451,0.522,0.34600000000000003,0.28,0.4320000000000001,0.345,0.279,0.983,0.006,3,0.552,0.375,0,0
2013-2014,O.J. Mayo,SG,26,MIL,52,1346,0.407,17.3,0.5870000000000001,0.151,0.104,0.12,0.213,0.413,0.433,0.5539999999999999,0.333,0.455,0.385,0.37,0.429,0.7859999999999999,0.004,1,0.141,0.469,2,0
2013-2014,Ognjen Kuzmić,C,23,GSW,21,92,0.385,6.8,1.0,0.308,0.308,0.385,0.0,0.0,0.385,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.231,3,0.0,0.0,0,0
2013-2014,Omri Casspi,PF,25,HOU,71,1283,0.422,14.2,0.5710000000000001,0.222,0.239,0.049,0.059,0.429,0.479,0.6920000000000001,0.388,0.25,0.25,0.34700000000000003,0.696,0.902,0.032,12,0.222,0.359,0,0
2013-2014,Orlando Johnson,SG,24,TOT,45,392,0.319,14.1,0.584,0.212,0.221,0.018000000000000002,0.133,0.416,0.409,0.5,0.32,0.0,0.467,0.191,0.333,1.0,0.035,4,0.383,0.222,0,0
2013-2014,Orlando Johnson,SG,24,IND,38,342,0.344,14.3,0.573,0.229,0.208,0.021,0.115,0.4270000000000001,0.455,0.5,0.4,0.0,0.545,0.195,0.36,1.0,0.042,4,0.439,0.222,0,0
2013-2014,Orlando Johnson,SG,24,SAC,7,50,0.17600000000000002,13.1,0.647,0.118,0.294,0.0,0.235,0.353,0.182,0.5,0.0,0.0,0.25,0.16699999999999998,0.0,1.0,0.0,0,0.0,0.0,0,0
2013-2014,Othyus Jeffers,SG,28,TOT,6,47,0.5,9.8,0.667,0.5,0.0,0.16699999999999998,0.0,0.333,0.75,1.0,0.0,0.0,0.0,0.0,0.333,0.0,0.16699999999999998,1,1.0,0.0,0,0
2013-2014,Othyus Jeffers,SG,28,SAS,4,34,0.6,7.2,0.8,0.6,0.0,0.2,0.0,0.2,0.75,1.0,0.0,0.0,0.0,0.0,0.333,0.0,0.2,1,1.0,0.0,0,0
2013-2014,Othyus Jeffers,SG,28,MIN,2,13,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0
2013-2014,Otto Porter,SF,20,WAS,37,319,0.363,14.7,0.769,0.198,0.121,0.121,0.33,0.231,0.414,0.611,0.364,0.273,0.3670000000000001,0.19,0.655,0.75,0.011,1,0.476,0.1,0,0
2013-2014,P.J. Tucker,SF,28,PHO,81,2490,0.431,11.5,0.6890000000000001,0.353,0.185,0.057,0.094,0.311,0.45,0.535,0.377,0.371,0.328,0.387,0.4920000000000001,0.959,0.02,9,0.8690000000000001,0.41,1,0
2013-2014,Pablo Prigioni,PG,36,NYK,66,1283,0.461,20.4,0.267,0.131,0.063,0.037000000000000005,0.037000000000000005,0.733,0.451,0.64,0.25,0.14300000000000002,0.429,0.464,0.304,0.677,0.0,0,0.243,0.471,1,0
2013-2014,Patrick Beverley,PG,25,HOU,56,1751,0.414,15.9,0.47,0.198,0.181,0.037000000000000005,0.054000000000000006,0.53,0.473,0.568,0.46,0.333,0.269,0.361,0.206,0.957,0.002,1,0.455,0.345,0,0
2013-2014,Patrick Patterson,PF,24,TOR,48,1118,0.477,14.6,0.695,0.196,0.153,0.153,0.193,0.305,0.506,0.625,0.464,0.482,0.4370000000000001,0.411,0.721,0.978,0.049,17,0.429,0.438,0,0
2013-2014,Patrick Patterson,PF,24,TOT,65,1533,0.46,14.4,0.691,0.194,0.168,0.147,0.182,0.309,0.503,0.632,0.5,0.458,0.404,0.364,0.7290000000000001,0.982,0.043,19,0.397,0.383,0,0
2013-2014,Patrick Patterson,PF,24,SAC,17,415,0.41,13.9,0.68,0.189,0.213,0.131,0.14800000000000002,0.32,0.494,0.652,0.5770000000000001,0.375,0.278,0.231,0.7559999999999999,1.0,0.025,2,0.308,0.16699999999999998,0,0
2013-2014,Patty Mills,PG,25,SAS,81,1527,0.464,18.1,0.523,0.132,0.068,0.07400000000000001,0.249,0.477,0.5,0.716,0.467,0.3670000000000001,0.434,0.425,0.443,0.726,0.0,0,0.302,0.469,1,0
2013-2014,Pau Gasol,C,33,LAL,60,1884,0.48,9.1,0.984,0.251,0.341,0.182,0.21,0.016,0.483,0.6709999999999999,0.4370000000000001,0.447,0.366,0.28600000000000003,0.589,0.75,0.049,41,0.071,1.0,0,0
2013-2014,Paul George,SF,23,IND,80,2898,0.424,15.8,0.633,0.208,0.084,0.15,0.191,0.3670000000000001,0.458,0.597,0.36,0.402,0.392,0.364,0.362,0.775,0.055,69,0.192,0.49,5,0
2013-2014,Paul Millsap,PF,28,ATL,74,2482,0.461,10.4,0.7979999999999999,0.345,0.239,0.104,0.11,0.202,0.487,0.62,0.428,0.385,0.29600000000000004,0.358,0.6409999999999999,0.974,0.04,34,0.193,0.366,2,1
2013-2014,Paul Pierce,SF,36,BRK,75,2098,0.451,15.7,0.579,0.237,0.07400000000000001,0.129,0.138,0.421,0.507,0.639,0.34,0.424,0.449,0.373,0.474,0.946,0.031,19,0.073,0.545,0,0
2013-2014,Pero Antić,C,31,ATL,50,925,0.418,17.5,0.418,0.218,0.075,0.041,0.085,0.5820000000000001,0.545,0.688,0.182,0.417,0.56,0.327,0.537,0.982,0.041,12,0.181,0.484,0,0
2013-2014,Perry Jones,PF,22,OKC,62,764,0.459,13.5,0.6629999999999999,0.26,0.171,0.077,0.155,0.337,0.508,0.66,0.5479999999999999,0.28600000000000003,0.321,0.361,0.721,1.0,0.127,21,0.623,0.421,1,0
2013-2014,Peyton Siva,SG,23,DET,24,224,0.316,13.8,0.561,0.404,0.07,0.018000000000000002,0.07,0.439,0.344,0.348,0.25,1.0,0.25,0.28,0.091,0.429,0.0,0,0.08,0.0,0,0
2013-2014,Phil Pressey,PG,22,BOS,75,1132,0.308,16.5,0.581,0.229,0.091,0.059,0.202,0.419,0.34,0.517,0.174,0.2,0.255,0.264,0.18,0.857,0.008,2,0.066,0.14300000000000002,1,0
2013-2014,Quincy Acy,SF,23,SAC,56,786,0.472,7.5,0.921,0.472,0.236,0.055,0.157,0.079,0.496,0.6,0.3670000000000001,0.429,0.4,0.2,0.69,1.0,0.197,23,0.8,0.25,0,0
2013-2014,Quincy Acy,SF,23,TOR,7,61,0.429,14.1,0.643,0.35700000000000004,0.071,0.0,0.214,0.35700000000000004,0.444,0.6,1.0,0.0,0.0,0.4,0.75,1.0,0.14300000000000002,2,0.4,0.5,0,0
2013-2014,Quincy Acy,SF,23,TOT,63,847,0.468,8.1,0.894,0.461,0.22,0.05,0.163,0.106,0.4920000000000001,0.6,0.387,0.429,0.348,0.267,0.6940000000000001,1.0,0.191,25,0.667,0.3,0,0
2013-2014,Quincy Miller,PF,21,DEN,52,789,0.3670000000000001,14.0,0.633,0.289,0.109,0.078,0.156,0.3670000000000001,0.395,0.527,0.393,0.15,0.275,0.319,0.453,0.933,0.059,13,0.447,0.31,0,0
2013-2014,Quincy Pondexter,SG,25,MEM,15,270,0.392,14.6,0.57,0.29100000000000004,0.139,0.076,0.063,0.43,0.444,0.522,0.455,0.333,0.2,0.324,0.5,0.909,0.076,6,0.353,0.333,0,0
2013-2014,Rajon Rondo,PG,27,BOS,30,998,0.403,11.9,0.743,0.326,0.211,0.043,0.163,0.257,0.442,0.544,0.324,0.4,0.404,0.289,0.2,0.385,0.0,0,0.08900000000000001,0.25,1,0
2013-2014,Ramon Sessions,PG,27,MIL,28,909,0.461,9.9,0.816,0.424,0.171,0.08900000000000001,0.132,0.184,0.484,0.589,0.34600000000000003,0.37,0.4,0.35700000000000004,0.408,0.9,0.02,6,0.196,0.273,0,0
2013-2014,Ramon Sessions,PG,27,CHA,55,1305,0.409,8.7,0.8540000000000001,0.46,0.211,0.075,0.108,0.146,0.441,0.542,0.316,0.343,0.32,0.221,0.371,0.867,0.015,7,0.147,0.3,0,0
2013-2014,Ramon Sessions,PG,27,TOT,83,2214,0.429,9.2,0.8390000000000001,0.446,0.195,0.081,0.117,0.161,0.457,0.56,0.327,0.355,0.35600000000000004,0.282,0.386,0.8859999999999999,0.017,13,0.16899999999999998,0.28600000000000003,0,0
2013-2014,Randy Foye,SG,30,DEN,81,2485,0.413,18.8,0.431,0.145,0.094,0.04,0.152,0.569,0.456,0.606,0.341,0.28600000000000003,0.429,0.38,0.267,0.757,0.005,4,0.171,0.447,4,0
2013-2014,Rashard Lewis,SF,34,MIA,60,971,0.415,17.1,0.4320000000000001,0.136,0.157,0.07200000000000001,0.068,0.568,0.51,0.75,0.405,0.529,0.25,0.343,0.5770000000000001,1.0,0.017,4,0.642,0.395,0,0
2013-2014,Rasual Butler,SG,34,IND,50,378,0.464,18.8,0.436,0.145,0.027000000000000003,0.1,0.16399999999999998,0.564,0.521,0.688,0.333,0.455,0.444,0.419,0.4,0.885,0.045,5,0.5479999999999999,0.324,0,0
2013-2014,Ray Allen*,SG,38,MIA,73,1936,0.442,18.2,0.431,0.166,0.063,0.087,0.118,0.569,0.53,0.622,0.471,0.511,0.438,0.375,0.516,0.957,0.011,6,0.411,0.425,3,1
2013-2014,Ray McCallum,PG,22,SAC,45,897,0.377,13.8,0.8029999999999999,0.227,0.153,0.09,0.33,0.197,0.378,0.588,0.304,0.37,0.273,0.373,0.363,0.909,0.033,8,0.39,0.391,0,0
2013-2014,Raymond Felton,PG,29,NYK,65,2017,0.395,14.6,0.679,0.245,0.132,0.081,0.222,0.321,0.431,0.55,0.3,0.429,0.378,0.318,0.303,0.774,0.0,0,0.185,0.444,2,0
2013-2014,Reggie Bullock,SF,22,LAC,43,395,0.355,20.2,0.397,0.107,0.05,0.058,0.182,0.603,0.438,0.846,0.333,0.28600000000000003,0.273,0.301,0.762,0.909,0.0,0,0.301,0.5,1,0
2013-2014,Reggie Evans,PF,33,TOT,54,899,0.473,3.5,1.0,0.5870000000000001,0.373,0.013,0.027000000000000003,0.0,0.473,0.591,0.339,0.0,0.0,0.0,0.606,0.0,0.087,12,0.0,0.0,0,0
2013-2014,Reggie Evans,PF,33,BRK,30,399,0.39,3.2,1.0,0.6609999999999999,0.305,0.017,0.017,0.0,0.39,0.487,0.222,0.0,0.0,0.0,0.7390000000000001,0.0,0.102,6,0.0,0.0,0,0
2013-2014,Reggie Evans,PF,33,SAC,24,500,0.527,3.7,1.0,0.5379999999999999,0.418,0.011,0.033,0.0,0.527,0.6729999999999999,0.395,0.0,0.0,0.0,0.542,0.0,0.077,6,0.0,0.0,0,0
2013-2014,Reggie Jackson,PG,23,OKC,80,2277,0.44,12.8,0.733,0.28600000000000003,0.197,0.116,0.134,0.267,0.477,0.599,0.417,0.387,0.382,0.339,0.197,0.6629999999999999,0.032,27,0.127,0.452,10,0
2013-2014,Reggie Williams,SF,27,OKC,3,17,0.556,12.4,0.667,0.111,0.333,0.111,0.111,0.333,0.667,0.0,0.667,1.0,1.0,0.333,0.5,1.0,0.0,0,0.333,1.0,0,0
2013-2014,Richard Jefferson,SF,33,UTA,82,2213,0.45,16.2,0.54,0.206,0.115,0.06,0.159,0.46,0.484,0.7190000000000001,0.36,0.385,0.308,0.409,0.485,0.959,0.067,39,0.359,0.491,0,0
2013-2014,Ricky Ledo,SG,21,DAL,11,33,0.353,8.0,0.529,0.0,0.529,0.0,0.0,0.471,0.333,0.0,0.333,0.0,0.0,0.375,0.333,0.667,0.0,0,0.0,0.0,0,0
2013-2014,Ricky Rubio,PG,23,MIN,82,2638,0.381,11.8,0.8009999999999999,0.407,0.073,0.069,0.252,0.199,0.393,0.491,0.34700000000000003,0.174,0.308,0.331,0.175,0.977,0.0,0,0.195,0.192,1,0
2013-2014,Robbie Hummel,SF,24,MIN,53,655,0.379,19.4,0.4970000000000001,0.073,0.062,0.09,0.271,0.503,0.398,0.6920000000000001,0.273,0.563,0.292,0.36,0.5710000000000001,1.0,0.011,2,0.438,0.256,0,0
2013-2014,Robert Covington,SF,23,HOU,7,34,0.429,21.6,0.214,0.0,0.14300000000000002,0.0,0.071,0.7859999999999999,0.667,0.0,0.5,0.0,1.0,0.364,1.0,1.0,0.0,0,0.364,0.5,0,0
2013-2014,Robert Sacre,C,24,LAL,65,1089,0.477,7.8,1.0,0.28300000000000003,0.377,0.223,0.117,0.0,0.477,0.682,0.434,0.358,0.343,0.0,0.818,0.0,0.13699999999999998,36,0.0,0.0,0,0
2013-2014,Robin Lopez,C,25,POR,82,2603,0.551,4.8,0.998,0.573,0.264,0.101,0.061,0.002,0.552,0.664,0.406,0.385,0.41,0.0,0.634,0.0,0.116,75,0.0,0.0,1,0
2013-2014,Rodney Stuckey,SG,27,DET,73,1950,0.436,10.8,0.897,0.277,0.239,0.156,0.225,0.103,0.455,0.648,0.353,0.406,0.359,0.273,0.405,1.0,0.002,2,0.557,0.3670000000000001,4,0
2013-2014,Roger Mason,SG,33,MIA,25,260,0.373,22.2,0.284,0.06,0.0,0.0,0.224,0.716,0.421,0.0,0.0,0.0,0.5329999999999999,0.354,0.625,0.882,0.0,0,0.438,0.381,0,0
2013-2014,Ronnie Brewer,SF,28,CHI,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2013-2014,Ronnie Brewer,SF,28,TOT,24,160,0.2,16.9,0.467,0.2,0.067,0.0,0.2,0.5329999999999999,0.28600000000000003,0.667,0.0,0.0,0.0,0.125,1.0,1.0,0.0,0,0.75,0.16699999999999998,0,0
2013-2014,Ronnie Brewer,SF,28,HOU,23,158,0.2,16.9,0.467,0.2,0.067,0.0,0.2,0.5329999999999999,0.28600000000000003,0.667,0.0,0.0,0.0,0.125,1.0,1.0,0.0,0,0.75,0.16699999999999998,0,0
2013-2014,Ronnie Price,SG,30,ORL,31,377,0.304,18.3,0.5329999999999999,0.207,0.054000000000000006,0.022,0.25,0.467,0.388,0.368,0.6,1.0,0.304,0.209,0.316,0.667,0.054000000000000006,4,0.163,0.0,1,0
